pace units,race distance,,,5K,4 miles,8K,5 miles,10K,7 miles,12K,15K,10 miles,12 miles,20K,half marathon,25K,30K,20 miles,marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min / mi,nyrr best pace (10k equiv.),,,race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),race time (pace),,5K,4 miles,8K,5 miles,10K,7 miles,12K,15K,10 miles,12 miles,20K,half marathon,25K,30K,20 miles,marathon,,5K,4 miles,8K,5 miles,10K,7 miles,12K,15K,10 miles,12 miles,20K,half marathon,25K,30K,20 miles,marathon,,5K,4 miles,8K,5 miles,10K,7 miles,12K,15K,10 miles,12 miles,20K,half marathon,25K,30K,20 miles,marathon,,5K,4 miles,8K,5 miles,10K,7 miles,12K,15K,10 miles,12 miles,20K,half marathon,25K,30K,20 miles,marathon
,race dist (mi),,,3.107520199,4,4.972032318,5,6.215040398,7,7.458048477,9.322560597,10,12,12.4300808,13.11218148,15.53760099,18.64512119,20,26.22436296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,race dist (km),,,5,6.436,8,8.045,10,11.263,12,15,16.09,19.308,20,21.0975,25,30,32.18,42.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mult. factor,,,2.09,1.6,1.27,1.26,1,0.87,0.82,0.65,0.6,0.4978728826,0.48,0.45,0.38,0.31,0.29,0.22,,RACE TIMES,,,,,,,,,,,,,,,,,TOTAL TIME,,,,,,,,,,,,,,,,,MILE PACE,,,,,,,,,,,,,,,,,KM PACE,,,,,,,,,,,,,,,
AA-Men,05:04,05:04,0:05:04,0:15:04 (04:51),0:19:41 (04:55),0:24:48 (04:59),0:25:00 (05:00),0:31:29 (05:04),0:36:12 (05:10),0:38:24 (05:09),0:48:27 (05:12),0:52:29 (05:15),1:03:15 (05:16),1:05:36 (05:17),1:09:59 (05:20),1:22:52 (05:20),1:41:35 (05:27),1:48:35 (05:26),2:23:08 (05:27),,0:15:04 (04:51),0:19:41 (04:55),0:24:48 (04:59),0:25:00 (05:00),0:31:29 (05:04),0:36:12 (05:10),0:38:24 (05:09),0:48:27 (05:12),0:52:29 (05:15),1:03:15 (05:16),1:05:36 (05:17),1:09:59 (05:20),1:22:52 (05:20),1:41:35 (05:27),1:48:35 (05:26),2:23:08 (05:27),,0:15:04,0:19:41,0:24:48,0:25:00,0:31:29,0:36:12,0:38:24,0:48:27,0:52:29,1:03:15,1:05:36,1:09:59,1:22:52,1:41:35,1:48:35,2:23:08,,04:51,04:55,04:59,05:00,05:04,05:10,05:09,05:12,05:15,05:16,05:17,05:20,05:20,05:27,05:26,05:27,,03:01,03:03,03:06,03:06,03:09,03:13,03:12,03:14,03:16,03:17,03:17,03:19,03:19,03:23,03:22,03:24
AA-Women,06:19,06:19,0:06:19,0:18:47 (06:03),0:24:32 (06:08),0:30:55 (06:13),0:31:09 (06:14),0:39:16 (06:19),0:45:07 (06:27),0:47:53 (06:25),1:00:24 (06:29),1:05:26 (06:33),1:18:51 (06:34),1:21:47 (06:35),1:27:14 (06:39),1:43:19 (06:39),2:06:38 (06:48),2:15:22 (06:46),2:58:27 (06:48),,0:18:47 (06:03),0:24:32 (06:08),0:30:55 (06:13),0:31:09 (06:14),0:39:16 (06:19),0:45:07 (06:27),0:47:53 (06:25),1:00:24 (06:29),1:05:26 (06:33),1:18:51 (06:34),1:21:47 (06:35),1:27:14 (06:39),1:43:19 (06:39),2:06:38 (06:48),2:15:22 (06:46),2:58:27 (06:48),,0:18:47,0:24:32,0:30:55,0:31:09,0:39:16,0:45:07,0:47:53,1:00:24,1:05:26,1:18:51,1:21:47,1:27:14,1:43:19,2:06:38,2:15:22,2:58:27,,06:03,06:08,06:13,06:14,06:19,06:27,06:25,06:29,06:33,06:34,06:35,06:39,06:39,06:48,06:46,06:48,,03:45,03:49,03:52,03:52,03:56,04:00,03:59,04:02,04:04,04:05,04:05,04:08,04:08,04:13,04:12,04:14
A,06:29,06:29,0:06:29,0:19:17 (06:12),0:25:11 (06:18),0:31:44 (06:23),0:31:59 (06:24),0:40:18 (06:29),0:46:19 (06:37),0:49:08 (06:35),1:01:59 (06:39),1:07:09 (06:43),1:20:56 (06:45),1:23:57 (06:45),1:29:33 (06:50),1:46:02 (06:49),2:09:59 (06:58),2:18:57 (06:57),3:03:09 (06:59),,0:19:17 (06:12),0:25:11 (06:18),0:31:44 (06:23),0:31:59 (06:24),0:40:18 (06:29),0:46:19 (06:37),0:49:08 (06:35),1:01:59 (06:39),1:07:09 (06:43),1:20:56 (06:45),1:23:57 (06:45),1:29:33 (06:50),1:46:02 (06:49),2:09:59 (06:58),2:18:57 (06:57),3:03:09 (06:59),,0:19:17,0:25:11,0:31:44,0:31:59,0:40:18,0:46:19,0:49:08,1:01:59,1:07:09,1:20:56,1:23:57,1:29:33,1:46:02,2:09:59,2:18:57,3:03:09,,06:12,06:18,06:23,06:24,06:29,06:37,06:35,06:39,06:43,06:45,06:45,06:50,06:49,06:58,06:57,06:59,,03:51,03:55,03:58,03:59,04:02,04:07,04:06,04:08,04:10,04:12,04:12,04:15,04:14,04:20,04:19,04:20
B,07:12,07:12,0:07:12,0:21:25 (06:53),0:27:58 (07:00),0:35:14 (07:05),0:35:31 (07:06),0:44:45 (07:12),0:51:26 (07:21),0:54:34 (07:19),1:08:51 (07:23),1:14:35 (07:27),1:29:53 (07:29),1:33:14 (07:30),1:39:26 (07:35),1:57:46 (07:35),2:24:21 (07:45),2:34:18 (07:43),3:23:24 (07:45),,0:21:25 (06:53),0:27:58 (07:00),0:35:14 (07:05),0:35:31 (07:06),0:44:45 (07:12),0:51:26 (07:21),0:54:34 (07:19),1:08:51 (07:23),1:14:35 (07:27),1:29:53 (07:29),1:33:14 (07:30),1:39:26 (07:35),1:57:46 (07:35),2:24:21 (07:45),2:34:18 (07:43),3:23:24 (07:45),,0:21:25,0:27:58,0:35:14,0:35:31,0:44:45,0:51:26,0:54:34,1:08:51,1:14:35,1:29:53,1:33:14,1:39:26,1:57:46,2:24:21,2:34:18,3:23:24,,06:53,07:00,07:05,07:06,07:12,07:21,07:19,07:23,07:27,07:29,07:30,07:35,07:35,07:45,07:43,07:45,,04:17,04:21,04:24,04:25,04:28,04:34,04:33,04:35,04:38,04:39,04:40,04:43,04:43,04:49,04:48,04:49
C,07:42,07:42,0:07:42,0:22:54 (07:22),0:29:55 (07:29),0:37:41 (07:35),0:37:59 (07:36),0:47:51 (07:42),0:55:00 (07:51),0:58:22 (07:50),1:13:37 (07:54),1:19:46 (07:59),1:36:07 (08:01),1:39:42 (08:01),1:46:21 (08:07),2:05:56 (08:06),2:34:22 (08:17),2:45:01 (08:15),3:37:32 (08:18),,0:22:54 (07:22),0:29:55 (07:29),0:37:41 (07:35),0:37:59 (07:36),0:47:51 (07:42),0:55:00 (07:51),0:58:22 (07:50),1:13:37 (07:54),1:19:46 (07:59),1:36:07 (08:01),1:39:42 (08:01),1:46:21 (08:07),2:05:56 (08:06),2:34:22 (08:17),2:45:01 (08:15),3:37:32 (08:18),,0:22:54,0:29:55,0:37:41,0:37:59,0:47:51,0:55:00,0:58:22,1:13:37,1:19:46,1:36:07,1:39:42,1:46:21,2:05:56,2:34:22,2:45:01,3:37:32,,07:22,07:29,07:35,07:36,07:42,07:51,07:50,07:54,07:59,08:01,08:01,08:07,08:06,08:17,08:15,08:18,,04:35,04:39,04:43,04:43,04:47,04:53,04:52,04:54,04:57,04:59,04:59,05:02,05:02,05:09,05:08,05:09
D,08:04,08:04,0:08:04,0:23:59 (07:43),0:31:20 (07:50),0:39:29 (07:56),0:39:47 (07:57),0:50:08 (08:04),0:57:38 (08:14),1:01:08 (08:12),1:17:08 (08:16),1:23:33 (08:21),1:40:42 (08:23),1:44:27 (08:24),1:51:25 (08:30),2:11:56 (08:29),2:41:43 (08:40),2:52:53 (08:39),3:47:53 (08:41),,0:23:59 (07:43),0:31:20 (07:50),0:39:29 (07:56),0:39:47 (07:57),0:50:08 (08:04),0:57:38 (08:14),1:01:08 (08:12),1:17:08 (08:16),1:23:33 (08:21),1:40:42 (08:23),1:44:27 (08:24),1:51:25 (08:30),2:11:56 (08:29),2:41:43 (08:40),2:52:53 (08:39),3:47:53 (08:41),,0:23:59,0:31:20,0:39:29,0:39:47,0:50:08,0:57:38,1:01:08,1:17:08,1:23:33,1:40:42,1:44:27,1:51:25,2:11:56,2:41:43,2:52:53,3:47:53,,07:43,07:50,07:56,07:57,08:04,08:14,08:12,08:16,08:21,08:23,08:24,08:30,08:29,08:40,08:39,08:41,,04:48,04:52,04:56,04:57,05:01,05:07,05:06,05:09,05:12,05:13,05:13,05:17,05:17,05:23,05:22,05:24
E,08:29,08:29,0:08:29,0:25:14 (08:07),0:32:57 (08:14),0:41:31 (08:21),0:41:51 (08:22),0:52:43 (08:29),1:00:36 (08:39),1:04:18 (08:37),1:21:07 (08:42),1:27:52 (08:47),1:45:54 (08:49),1:49:51 (08:50),1:57:10 (08:56),2:18:45 (08:56),2:50:05 (09:07),3:01:48 (09:05),3:59:39 (09:08),,0:25:14 (08:07),0:32:57 (08:14),0:41:31 (08:21),0:41:51 (08:22),0:52:43 (08:29),1:00:36 (08:39),1:04:18 (08:37),1:21:07 (08:42),1:27:52 (08:47),1:45:54 (08:49),1:49:51 (08:50),1:57:10 (08:56),2:18:45 (08:56),2:50:05 (09:07),3:01:48 (09:05),3:59:39 (09:08),,0:25:14,0:32:57,0:41:31,0:41:51,0:52:43,1:00:36,1:04:18,1:21:07,1:27:52,1:45:54,1:49:51,1:57:10,2:18:45,2:50:05,3:01:48,3:59:39,,08:07,08:14,08:21,08:22,08:29,08:39,08:37,08:42,08:47,08:49,08:50,08:56,08:56,09:07,09:05,09:08,,05:03,05:07,05:11,05:12,05:16,05:23,05:21,05:24,05:28,05:29,05:30,05:33,05:33,05:40,05:39,05:41
